,Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp
0,Kisumu,Millet,2018,36613,202.9355362,121,20.87974371
1,Nakuru,Millet,2018,66667,226.6555374,121,21.77046169
2,Kisumu,Millet,2018,23333,263.9642476,121,23.00445915
3,Nairobi,Millet,2018,12500,242.8640342,121,26.49109635
4,Nairobi,Millet,2018,7000,262.7173405,121,20.13017482
5,Central,Millet,2018,30197,251.0549998,121,23.05804872
6,Central,Millet,2015,29068,271.3248604,121,22.70883798
7,Central,Millet,2015,77818,241.9741949,121,20.27774362
8,Nairobi,Millet,2015,28538,230.4462359,121,24.51588066
9,Nakuru,Millet,2015,6667,221.2091958,121,23.22397386
10,Central,Millet,2015,6066,264.6148697,121,26.52723513
11,Nairobi,Millet,2015,20698,250.0832336,121,23.97898217
12,Central,Millet,2016,24876,284.4364567,121,26.80079604
13,Nakuru,Millet,2016,82920,185.2773389,121,24.01497622
14,Central,Millet,2016,40000,209.5869708,121,25.66585205
15,Central,Millet,2016,3747,231.0863347,121,24.28209415
16,Central,Millet,2016,4507,276.6552459,121,21.58711777
17,Central,Millet,2016,24388,206.2611855,121,23.79391957
18,Central,Millet,2017,24185,224.5550169,121,21.8652524
19,Nairobi,Millet,2017,8446,291.2986618,121,23.57943626
20,Nakuru,Millet,2017,41786,185.4974732,121,21.32504158
21,Kisumu,Millet,2017,7998,231.3843163,121,25.15745531
22,Nairobi,Millet,2017,976,213.3560921,121,21.94766735
23,Central,Millet,2020,25848,233.1075816,201,21.0525355
24,Central,Millet,2020,81404,224.0581164,201,23.48381344
25,Eldoret,Millet,2020,7927,257.0038865,201,25.0756354
26,Central,Millet,2020,24745,271.3586137,201,26.35927159
27,Eldoret,Millet,2021,31300,260.2634026,251,24.52922681
28,Nakuru,Millet,2021,111323,240.0810647,251,20.77576147
29,Central,Millet,2021,11791,197.9791215,251,22.30157427
30,Central,Millet,2021,28703,272.2017204,251,21.44653958
31,Nakuru,Millet,2022,32604,200.0882787,313.96,22.17931888
32,Nairobi,Millet,2022,106138,224.6757231,313.96,24.52783742
33,Central,Millet,2022,15480,270.4417274,313.96,20.26707606
34,Central,Millet,2022,21741,233.1321372,313.96,25.7354293
35,Nakuru,Millet,2019,31862,193.3473987,376.93,26.79533926
36,Eldoret,Millet,2019,109874,272.2999056,376.93,26.75754171
37,Nakuru,Millet,2019,12768,285.2493645,376.93,23.86330467
38,Nakuru,Millet,2019,28516,298.4018471,376.93,21.01944696
39,Nakuru,Millet,2023,33416,257.0343554,439.89,24.17298839
40,Nakuru,Millet,2023,127212,248.7183228,439.89,22.78133816
41,Nakuru,Millet,2023,14327,209.9001977,439.89,25.62980105
42,Central,Millet,2023,28037,200.834898,439.89,25.59704938
43,Central,Millet,2014,37455,298.5601175,502.86,23.83067496
44,Kisumu,Millet,2014,142018,265.5355937,502.86,26.31355498
45,Eldoret,Millet,2014,17143,183.6793207,502.86,24.8972823
46,Eldoret,Millet,2014,24954,196.9560008,502.86,24.958779
47,Eldoret,Millet,2000,38811,233.0453455,565.82,23.24113501
48,Central,Millet,2000,141228,210.8142087,565.82,21.66628296
49,Central,Millet,2000,15000,253.7202781,565.82,24.63544858
50,Eldoret,Millet,2000,30455,219.9048349,565.82,23.43121862
51,Kisumu,Millet,2001,38135,208.5810155,628.79,20.0454142
52,Central,Millet,2001,148818,195.0948311,628.79,23.85724032
53,Nakuru,Millet,2001,20000,227.3637009,628.79,21.97201797
54,Kisumu,Millet,2001,28220,286.5083725,628.79,26.22916897
55,Nairobi,Millet,2002,39460,283.9338466,691.75,23.44676801
56,Kisumu,Millet,2002,153868,217.3788583,691.75,25.65553461
57,Central,Millet,2002,20000,267.9761948,691.75,24.44345477
58,Nakuru,Millet,2002,31617,191.9535738,691.75,20.2801937
59,Kisumu,Millet,2004,46197,277.9626192,817.68,21.7238313
60,Central,Millet,2004,149346,245.1511304,817.68,20.41447029
61,Central,Millet,2004,13333,245.6626799,817.68,25.75528612
62,Nakuru,Millet,2004,31130,279.5451717,817.68,20.61521424
63,Central,Millet,2005,45442,202.3838319,880.64,21.84106875
64,Kisumu,Millet,2005,167061,263.6372176,880.64,20.08369642
65,Central,Millet,2005,17500,182.5616319,880.64,24.45802087
66,Eldoret,Millet,2005,31582,198.6730942,880.64,21.14347496
67,Nairobi,Millet,2006,50111,243.5120414,943.61,25.78720567
68,Central,Millet,2006,170745,263.1103304,943.61,23.64124821
69,Central,Millet,2006,20000,269.5039162,943.61,23.43191632
70,Nakuru,Millet,2006,30787,204.8001847,943.61,24.97669518
71,Eldoret,Millet,2007,46732,260.8875056,1006.57,22.72791041
72,Central,Millet,2007,188902,295.6094492,1006.57,24.87300744
73,Central,Millet,2007,20000,192.3197536,1006.57,21.32376327
74,Nakuru,Millet,2007,35496,257.4914906,1006.57,26.29465461
75,Kisumu,Millet,2008,50000,278.0791793,1069.54,22.2286982
76,Nakuru,Millet,2008,193878,280.4044392,1069.54,26.73072391
77,Eldoret,Millet,2008,20000,185.9461429,1069.54,24.88921174
78,Central,Millet,2008,40168,194.5766559,1069.54,26.88444878
79,Nakuru,Millet,2009,55693,200.9133156,1132.5,22.67846116
80,Central,Millet,2009,219780,182.9043504,1132.5,26.08867875
81,Nakuru,Millet,2009,16667,195.3574542,1132.5,25.42977518
